AÑO,MUNICIPIO,TEMPERATURA,TEMP_MIN,TEMP_MAX,PRECIPITACIONES
2001,ASCENSIÓN DE GUARAYOS,26.12594520547945,13.5475,31.48541666666667,31993.19
2001,BOYUIBE,23.57638812785388,8.5875,30.74083333333333,15618.01
2001,BUENA VISTA,24.315303652968034,10.30041666666667,29.47083333333333,34692.11
2001,CABEZAS,24.754563926940637,10.91208333333333,31.02875,22154.34
2001,CAMIRI,21.043268264840183,6.414583333333333,28.48583333333333,18547.96
2001,CHARAGUA,23.516584474885846,9.137916666666667,30.51833333333333,16903.17
2001,COLPA BÉLGICA,24.88379794520548,10.84083333333333,31.11125,37684.32
2001,COMARAPA,17.536020547945206,5.366666666666667,22.723749999999995,19204.75
2001,CONCEPCIÓN,24.89311301369863,11.67791666666667,30.545,30634.04
2001,COTOCA,24.225839041095888,10.08625,30.088333333333328,33475.27
2001,CUATRO CAÑADAS,25.155270547945204,11.67958333333333,31.09333333333333,37630.5
2001,CUEVO,21.35892808219178,6.42875,28.54041666666667,16705.43
2001,EL CARMEN RIVERO TÓRREZ,27.27312785388128,11.442083333333331,34.31875,22491.71
2001,EL PUENTE,26.232036529680364,13.072916666666671,32.02416666666667,32303.31
2001,EL TORNO,24.225839041095888,10.08625,30.088333333333328,33475.27
2001,FERNÁNDEZ ALONSO,25.710632420091322,12.15708333333333,32.28875,36216.69
2001,GENERAL SAAVEDRA,25.710632420091322,12.15708333333333,32.28875,36216.69
2001,GUTIÉRREZ (KEREIMBA IYAAMBAE),21.37617123287671,6.703749999999999,29.208333333333325,19804.24
2001,LA GUARDIA,24.225839041095888,10.08625,30.088333333333328,33475.27
2001,LAGUNILLAS,21.37617123287671,6.703749999999999,29.208333333333325,19804.24
2001,MAIRANA,19.819013698630137,6.287916666666667,24.21041666666666,28594.04
2001,MINEROS,25.710632420091322,12.15708333333333,32.28875,36216.69
2001,MONTERO,24.88379794520548,10.84083333333333,31.11125,37684.32
2001,MORO MORO,18.141269406392695,5.308333333333334,23.71708333333333,16052.210000000001
2001,OKINAWA UNO,25.710632420091322,12.15708333333333,32.28875,36216.69
2001,PAILÓN,25.155270547945204,11.67958333333333,31.09333333333333,37630.5
2001,PAMPA GRANDE,17.536020547945206,5.366666666666667,22.723749999999995,19204.75
2001,PORONGO,24.225839041095888,10.08625,30.088333333333328,33475.27
2001,PORTACHUELO,24.88379794520548,10.84083333333333,31.11125,37684.32
2001,POSTRERVALLE,18.141269406392695,5.308333333333334,23.71708333333333,16052.210000000001
2001,PUCARÁ,18.141269406392695,5.308333333333334,23.71708333333333,16052.210000000001
2001,PUERTO QUIJARRO,27.806885844748855,12.190416666666671,33.77208333333333,21733.35
2001,PUERTO SUÁREZ,27.806885844748855,12.190416666666671,33.77208333333333,21733.35
2001,QUIRUSILLAS,19.744607305936075,4.884166666666666,25.215,19513.97
2001,ROBORÉ,26.13240753424658,10.15,32.19291666666667,23568.48
2001,SAIPINA,17.536020547945206,5.366666666666667,22.723749999999995,19204.75
2001,SAMAIPATA,19.819013698630137,6.287916666666667,24.21041666666666,28594.04
2001,SAN ANTONIO DE LOMERÍO,25.417869863013696,11.3825,30.59791666666667,31673.97
2001,SAN CARLOS,24.315303652968034,10.30041666666667,29.47083333333333,34692.11
2001,SAN IGNACIO DE VELASCO,25.275707762557076,11.04208333333333,30.57958333333333,25794.31
2001,SAN JAVIER,25.024076484018263,11.49375,30.54875,33299.06
2001,SAN JOSÉ DE CHIQUITOS,25.86166552511416,10.70583333333333,31.820416666666656,23898.510000000002
2001,SAN JUAN DE YAPACANÍ,24.315303652968034,10.30041666666667,29.47083333333333,34692.11
2001,SAN JULIÁN,25.44149771689498,11.941249999999998,31.292083333333334,35796.46
2001,SAN MATÍAS,27.69062671232877,14.06875,33.84791666666667,31954.1
2001,SAN MIGUEL DE VELASCO,25.275707762557076,11.04208333333333,30.57958333333333,25794.31
2001,SAN PEDRO,26.148098173515983,12.56916666666667,32.19375,32081.44
2001,SAN RAFAEL,26.07971917808219,11.389583333333333,32.28,24945.19
2001,SAN RAMÓN,25.024076484018263,11.49375,30.54875,33299.06
2001,SANTA CRUZ DE LA SIERRA,24.225839041095888,10.08625,30.088333333333328,33475.27
2001,SANTA ROSA DEL SARA,26.148098173515983,12.56916666666667,32.19375,32081.44
2001,TRIGAL,18.141269406392695,5.308333333333334,23.71708333333333,16052.210000000001
2001,URUBICHÁ,26.13908904109589,14.44375,31.48208333333334,33761.84
2001,VALLEGRANDE,19.744607305936075,4.884166666666666,25.215,19513.97
2001,WARNES,24.88379794520548,10.84083333333333,31.11125,37684.32
2001,YAPACANÍ,24.315303652968034,10.30041666666667,29.47083333333333,34692.11
2002,ASCENSIÓN DE GUARAYOS,26.871980593607308,16.7025,33.40583333333333,26048.739999999998
2002,BOYUIBE,23.84644063926941,9.369166666666667,32.72625,16123.61
2002,BUENA VISTA,24.78484703196347,14.49333333333333,31.317499999999995,33627.03
2002,CABEZAS,25.320639269406392,13.036250000000003,33.06041666666667,20959.19
2002,CAMIRI,21.65523515981735,8.888333333333334,30.52875,16864.18
2002,CHARAGUA,23.893037671232875,10.4875,32.25625,16735.91
2002,COLPA BÉLGICA,25.392625570776254,13.87083333333333,32.84708333333334,35338.93
2002,COMARAPA,18.095787671232877,9.812916666666666,22.41333333333333,19289.45
2002,CONCEPCIÓN,25.868813926940636,17.99791666666667,32.25583333333334,23660.82
2002,COTOCA,24.76600114155251,13.08958333333333,31.90333333333334,31910.52
